file,Municipal_Name,GEO_ID,County,RPC_Name,RPC,FIPS6
Addison_Addison.geojson,Addison,5000100325,Addison,Addison County Regional Planning Commission,ACRPC,1005
Addison_Bridport.geojson,Bridport,5000108575,Addison,Addison County Regional Planning Commission,ACRPC,1010
Addison_Bristol.geojson,Bristol,5000109025,Addison,Addison County Regional Planning Commission,ACRPC,1015
Addison_Cornwall.geojson,Cornwall,5000116000,Addison,Addison County Regional Planning Commission,ACRPC,1020
Addison_Ferrisburgh.geojson,Ferrisburgh,5000126300,Addison,Addison County Regional Planning Commission,ACRPC,1025
Addison_Goshen.geojson,Goshen,5000128600,Addison,Addison County Regional Planning Commission,ACRPC,1030
Addison_Leicester.geojson,Leicester,5000139325,Addison,Addison County Regional Planning Commission,ACRPC,1045
Addison_Lincoln.geojson,Lincoln,5000140075,Addison,Addison County Regional Planning Commission,ACRPC,1050
Addison_Middlebury.geojson,Middlebury,5000144350,Addison,Addison County Regional Planning Commission,ACRPC,1055
Addison_Monkton.geojson,Monkton,5000145550,Addison,Addison County Regional Planning Commission,ACRPC,1060
Addison_New Haven.geojson,New Haven,5000148700,Addison,Addison County Regional Planning Commission,ACRPC,1065
Addison_Orwell.geojson,Orwell,5000153725,Addison,Addison County Regional Planning Commission,ACRPC,1070
Addison_Panton.geojson,Panton,5000153950,Addison,Addison County Regional Planning Commission,ACRPC,1075
Addison_Ripton.geojson,Ripton,5000159650,Addison,Addison County Regional Planning Commission,ACRPC,1080
Addison_Salisbury.geojson,Salisbury,5000162575,Addison,Addison County Regional Planning Commission,ACRPC,1085
Addison_Shoreham.geojson,Shoreham,5000165050,Addison,Addison County Regional Planning Commission,ACRPC,1090
Addison_Starksboro.geojson,Starksboro,5000170075,Addison,Addison County Regional Planning Commission,ACRPC,1095
Addison_Vergennes.geojson,Vergennes,5000174650,Addison,Addison County Regional Planning Commission,ACRPC,1100
Addison_Weybridge.geojson,Weybridge,5000183275,Addison,Addison County Regional Planning Commission,ACRPC,1110
Addison_Whiting.geojson,Whiting,5000183800,Addison,Addison County Regional Planning Commission,ACRPC,
Addison_waltham.geojson,Waltham,5000176075,Addison,Addison County Regional Planning Commission,ACRPC,1105
Addison_whiting.geojson,whiting,5000183800,Addison,Addison County Regional Planning Commission,ACRPC,1115
Bennington_Arlington.geojson,Arlington,5000301450,Bennington,Bennington County Regional Commission,BCRC,3005
Bennington_Bennington.geojson,Bennington,5000304825,Bennington,Bennington County Regional Commission,BCRC,3010
Bennington_Dorset.geojson,Dorset,5000317725,Bennington,Bennington County Regional Commission,BCRC,3015
Bennington_Glastenbury.geojson,Glastenbury,5000327962,Bennington,Bennington County Regional Commission,BCRC,3018
Bennington_Landgrove.geojson,Landgrove,5000339025,Bennington,Bennington County Regional Commission,BCRC,3020
Bennington_Manchester.geojson,Manchester,5000342850,Bennington,Bennington County Regional Commission,BCRC,3025
Bennington_ManchesterVillage.geojson,ManchesterVillage,5000342850,Bennington,Bennington County Regional Commission,BCRC,3025
Bennington_Peru.geojson,Peru,5000355000,Bennington,Bennington County Regional Commission,BCRC,3030
Bennington_Pownal.geojson,Pownal,5000357025,Bennington,Bennington County Regional Commission,BCRC,3035
Bennington_Readsboro.geojson,Readsboro,5000358600,Bennington,Windham Regional Commission,WRC,3040
Bennington_Rupert.geojson,Rupert,5000361000,Bennington,Bennington County Regional Commission,BCRC,3045
Bennington_Sandgate.geojson,Sandgate,5000362875,Bennington,Bennington County Regional Commission,BCRC,3050
Bennington_Shaftsbury.geojson,Shaftsbury,5000363550,Bennington,Bennington County Regional Commission,BCRC,3060
Bennington_Stamford.geojson,Stamford,5000369775,Bennington,Bennington County Regional Commission,BCRC,3065
Bennington_Sunderland.geojson,Sunderland,5000371425,Bennington,Bennington County Regional Commission,BCRC,3070
Bennington_Winhall.geojson,Winhall,5000385075,Bennington,Windham Regional Commission,WRC,
Bennington_Woodford.geojson,Woodford,5000385675,Bennington,Bennington County Regional Commission,BCRC,3080
Bennington_winhall.geojson,winhall,5000385075,Bennington,Windham Regional Commission,WRC,3075
Caledonia_Barnet.geojson,Barnet,5000502875,Caledonia,Northeastern Vermont Development Association,NVDA,5005
Caledonia_Burke.geojson,Burke,5000510450,Caledonia,Northeastern Vermont Development Association,NVDA,5010
Caledonia_Danville.geojson,Danville,5000517125,Caledonia,Northeastern Vermont Development Association,NVDA,5015
Caledonia_Groton.geojson,Groton,5000530550,Caledonia,Northeastern Vermont Development Association,NVDA,5020
Caledonia_Hardwick.geojson,Hardwick,5000531825,Caledonia,Northeastern Vermont Development Association,NVDA,5025
Caledonia_Kirby.geojson,Kirby,5000537900,Caledonia,Northeastern Vermont Development Association,NVDA,5030
Caledonia_Lyndon.geojson,Lyndon,5000541725,Caledonia,Northeastern Vermont Development Association,NVDA,5035
Caledonia_Peacham.geojson,Peacham,5000554400,Caledonia,Northeastern Vermont Development Association,NVDA,5045
Caledonia_Ryegate.geojson,Ryegate,5000561525,Caledonia,Northeastern Vermont Development Association,NVDA,5050
Caledonia_SaintJohnsbury.geojson,Saint Johnsbury,5000562200,Caledonia,Northeastern Vermont Development Association,NVDA,5055
Caledonia_Stannard.geojson,Stannard,5000569925,Caledonia,Northeastern Vermont Development Association,NVDA,5065
Caledonia_Sutton.geojson,Sutton,5000571575,Caledonia,Northeastern Vermont Development Association,NVDA,5070
